Project_ID,Project_Name,Original_Principal_Amount,Cancelled_Amount,Undisbursed_Amount,Disbursed_Amount,Repaid_to_IBRD,Due_to_IBRD,Exchange_Adjustment,Borrower_Obligation,Sold_3rd_Party,Repaid_3rd_Party,Due_3rd_Party,Loans_Held
P037383,RECONSTRUCTION,250000000,0,0,250000000,38000,0,0,0,249962000,249962000,0,0
P037452,RECONSTRUCTION,191044211.8,0,0,191044211.8,103372211.8,0,0,0,87672000,87672000,0,0
P037452,RECONSTRUCTION,3955788.25,0,0,3955788.25,0,0,0,0,3955788.25,3955788.25,0,0
P037362,RECONSTRUCTION,40000000,0,0,40000000,17771000,0,0,0,22229000,22229000,0,0
P037451,RECONSTRUCTION,12000000,238016.98,0,11761983.02,1619983.02,-4.66E-10,4.66E-10,0,10142000,10142000,0,-4.66E-10
P006578,POWER,13500000,0,0,13500000,12167000,0,0,0,1333000,1333000,0,0
P006577,FOMENTO AGRIC CREDIT,2500000,0,0,2500000,755000,0,0,0,1745000,1745000,0,0
P037453,SHIPPING I,2000000,0,0,2000000,0,0,0,0,2000000,2000000,0,0
P037453,SHIPPING I,2000000,0,0,2000000,0,0,0,0,2000000,2000000,0,0
P037454,SHIPPING II,2000000,0,0,2000000,0,0,0,0,2000000,2000000,0,0
P037455,SHIPPING III,2000000,0,0,2000000,0,0,0,0,2000000,2000000,0,0
P037456,SHIPPING IV,2000000,0,0,2000000,0,0,0,0,2000000,2000000,0,0
P037456,SHIPPING IV,2000000,0,0,2000000,0,0,0,0,2000000,2000000,0,0
P006214,POWER AND TELEPHONE,75000000,0,0,75000000,70971588.97,0,0,0,4028411.03,4028411.03,0,0
P006214,POWER AND TELEPHONE,15000000,0,0,15000000,15000000,0,0,0,0,0,0,0
P007497,POWER I,24100000,0,0,24100000,20131700,0,0,0,3968300,3968300,0,0
P007498,POWER II,10000000,10000000,0,0,0,0,0,0,0,0,0,0
P037358,INDUSTRY,16000000,0,0,16000000,0,0,0,0,16000000,16000000,0,0
P037457,INDUSTRIAL PROJECTS,15000000,7548015.28,0,7451984.72,1025088.71,8.15E-10,-8.15E-10,0,6426896.01,6426896.01,0,8.15E-10
P037366,INDUSTRY I,12500000,0,0,12500000,6747990.11,-1.86E-09,-0.009999998,-0.01,5752009.89,5752009.89,0,-1.86E-09
P009588,RAILWAY,34000000,1200000,0,32800000,15056370.48,0,0,0,17743629.52,17743629.52,0,0
P006682,AGRICULTRE MACHINERY,5000000,74559.16,0,4925440.84,2925440.84,0,0,0,2000000,2000000,0,0
P009586,FARM IMPROVEMENT,10000000,2796186.73,0,7203813.27,2263000,0,0,0,4940813.27,4940813.27,0,0
P009133,FORESTRY,2700000,0,0,2700000,2700000,0,0,0,0,0,0,0
P037365,FORESTRY,2300000,197868.9,0,2102131.1,2102131.1,0,0,0,0,0,0,0
P007137,RIO LEMPA HYDROELECT,12545000,0,0,12545000,11545000,0,0,0,1000000,1000000,0,0
P009587,BOKAROKONAR POWER,18500000,1779500,0,16720500,10851500,0,0,0,5869000,5869000,0,0
P007499,POWER III,26000000,0,0,26000000,21974000,0,-0.01,-0.01,4026000,4026000,0,0
P006215,POWER,15000000,0,0,15000000,15000000,1.86E-09,-1.86E-09,0,0,0,0,1.86E-09
P005231,IRRIGATION,12800000,6506053.54,0,6293946.46,6293946.46,0,0,0,0,0,0,0
P008872,GRAIN SILOS,3900000,0,0,3900000,3756000,0,0,0,144000,144000,0,0
P008874,PORT DEVELOPMENT,12500000,0,0,12500000,12500000,0,0,0,0,0,0,0
